station,emission,echeance,horizon,mb1,mb2,mb3,mb4,mb5,mb6,mb7,mb8,mb9,mb10,mb11,mb12,mb13,mb14,mb15,mb16,mb17,mb18,mb19,mb20,mb21,mb22,mb23,mb24,mb25,mb26,mb27,mb28,mb29,mb30,mb31,mb32,mb33,mb34,mb35,mb36,mb37,mb38,mb39,mb40,mb41,mb42,mb43,mb44,mb45,mb46,mb47,mb48,mb49,mb50
022513,2021-08-04 00:00:00,2021-08-07 00:00:00,72,6.859375,11.25,6.203125,6.3125,6.515625,8.828125,13.390625,6.265625,10.9375,11.640625,7.375,6.125,6.390625,11.8125,7.09375,6.453125,7.828125,12.328125,6.765625,6.140625,15.484375,12.03125,6.765625,8.296875,8.34375,7.765625,6.75,8.609375,6.53125,7.875,7.609375,5.953125,7.953125,8.859375,5.96875,6.640625,9.21875,6.640625,8.0,6.140625,6.46875,8.234375,7.609375,7.296875,6.953125,11.390625,6.8125,6.703125,6.21875,6.265625
022513,2021-08-04 00:00:00,2021-08-08 00:00:00,96,6.8125,12.140625,6.5625,5.84375,9.515625,8.4375,13.796875,6.8125,10.515625,12.71875,6.8125,6.578125,6.46875,13.03125,7.15625,6.796875,7.3125,12.171875,7.234375,6.421875,17.375,12.921875,5.9375,9.578125,9.515625,11.5625,6.078125,8.546875,6.3125,7.515625,8.5,5.71875,8.375,8.265625,7.109375,7.203125,8.96875,6.234375,7.5,6.578125,6.625,7.3125,7.375,6.84375,7.609375,11.921875,6.796875,6.890625,7.140625,6.578125
022513,2021-08-04 00:00:00,2021-08-09 00:00:00,120,6.484375,11.75,6.34375,6.078125,9.34375,8.53125,14.984375,7.71875,9.453125,11.359375,6.921875,6.3125,5.890625,11.5625,7.25,6.203125,6.953125,11.078125,7.171875,6.671875,19.546875,11.390625,7.0,8.828125,8.34375,12.671875,7.3125,8.328125,6.046875,6.875,8.953125,6.1875,8.453125,7.625,7.296875,9.140625,10.125,6.421875,6.96875,6.375,6.765625,6.6875,6.9375,6.390625,8.078125,13.125,6.765625,6.609375,7.359375,5.703125
022513,2021-08-04 00:00:00,2021-08-10 00:00:00,144,6.375,10.25,5.921875,6.046875,9.734375,7.734375,14.328125,7.375,8.28125,11.109375,6.78125,5.640625,5.875,11.234375,6.734375,6.203125,6.328125,11.15625,7.234375,5.609375,19.578125,10.140625,6.21875,7.796875,6.90625,14.125,6.765625,8.703125,5.765625,6.40625,8.8125,5.578125,9.140625,6.515625,7.828125,13.3125,9.65625,6.578125,6.65625,6.625,8.15625,6.375,6.640625,7.125,6.875,11.671875,6.84375,6.84375,7.21875,5.40625
022513,2021-08-05 00:00:00,2021-08-06 00:00:00,24,6.34375,6.296875,6.375,6.296875,7.234375,6.328125,6.3125,6.28125,6.265625,6.25,6.265625,6.265625,6.265625,6.265625,6.28125,6.28125,6.359375,6.25,6.34375,6.375,6.46875,6.28125,6.390625,6.28125,6.640625,6.296875,6.359375,6.5,6.28125,6.265625,6.484375,6.28125,6.265625,6.3125,6.25,6.359375,6.546875,6.3125,6.296875,6.5,6.546875,6.25,6.3125,6.5,6.390625,6.25,6.28125,6.265625,6.359375,6.296875
022513,2021-08-05 00:00:00,2021-08-07 00:00:00,48,6.5,6.296875,6.6875,6.421875,7.03125,6.109375,6.15625,5.953125,6.515625,5.9375,6.484375,6.125,6.046875,5.984375,6.578125,6.453125,6.125,6.125,6.5625,6.078125,6.140625,6.703125,6.3125,6.3125,6.78125,5.953125,6.328125,6.0625,6.546875,5.921875,6.53125,6.296875,6.3125,6.109375,6.890625,7.734375,6.453125,6.3125,6.734375,6.5625,6.53125,7.078125,6.421875,6.328125,6.546875,6.4375,6.171875,5.90625,6.0,6.859375
022513,2021-08-05 00:00:00,2021-08-08 00:00:00,72,5.953125,5.859375,6.15625,6.015625,7.3125,5.6875,5.859375,5.890625,6.125,5.71875,5.75,5.90625,5.71875,6.1875,6.140625,5.921875,5.734375,5.703125,6.03125,6.484375,5.828125,5.984375,5.875,6.40625,5.9375,6.15625,5.953125,5.75,6.234375,5.796875,5.90625,6.203125,6.015625,5.71875,6.296875,6.8125,6.65625,6.125,6.25,5.90625,6.296875,6.3125,5.84375,5.765625,5.96875,6.0,6.703125,5.703125,5.71875,6.203125
022513,2021-08-05 00:00:00,2021-08-09 00:00:00,96,6.1875,6.015625,6.109375,5.859375,7.4375,5.765625,6.0625,7.4375,7.03125,5.71875,5.71875,6.859375,5.796875,5.78125,6.234375,6.0,5.609375,5.78125,6.234375,6.421875,6.6875,6.859375,6.125,6.578125,5.78125,6.484375,6.3125,5.71875,6.6875,6.515625,5.953125,6.390625,6.703125,6.125,6.171875,6.40625,6.640625,6.796875,7.03125,6.453125,6.703125,6.09375,5.953125,5.890625,6.1875,6.140625,7.71875,5.6875,5.671875,6.703125
022513,2021-08-05 00:00:00,2021-08-10 00:00:00,120,5.828125,5.953125,6.328125,5.515625,6.78125,5.71875,7.78125,7.234375,6.125,5.609375,5.65625,6.59375,5.625,5.484375,5.734375,5.546875,5.765625,5.734375,5.828125,6.125,6.265625,5.8125,5.703125,5.640625,5.59375,5.921875,6.25,5.515625,5.765625,5.828125,5.84375,6.34375,6.1875,5.734375,5.765625,5.8125,5.59375,7.359375,6.203125,6.328125,6.609375,5.734375,5.859375,5.625,6.15625,6.296875,9.453125,5.625,5.59375,5.796875
022513,2021-08-05 00:00:00,2021-08-11 00:00:00,144,5.5625,5.59375,8.296875,8.65625,10.8125,5.46875,8.03125,7.203125,5.671875,20.765625,5.421875,6.40625,5.4375,5.34375,5.546875,5.5625,19.28125,5.734375,5.578125,6.84375,5.65625,5.46875,5.53125,5.4375,6.296875,5.78125,7.71875,5.328125,5.546875,5.5,5.953125,5.96875,6.109375,6.0625,5.484375,5.546875,5.453125,7.515625,5.734375,5.703125,5.890625,5.75,6.96875,6.15625,5.5625,5.9375,9.453125,5.421875,5.40625,5.4375
